Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
صيام يوم الخميس,1/2/2025,1:00 AM,1/2/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,1/6/2025,1:00 AM,1/6/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,1/9/2025,1:00 AM,1/9/2025,1:15 AM,FALSE,,,TRUE
13 رجب,1/13/2025,1:00 AM,1/13/2025,1:15 AM,FALSE,,,TRUE
14 رجب,1/14/2025,1:00 AM,1/14/2025,1:15 AM,FALSE,,,TRUE
15 رجب,1/15/2025,1:00 AM,1/15/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,1/16/2025,1:00 AM,1/16/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,1/20/2025,1:00 AM,1/20/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,1/23/2025,1:00 AM,1/23/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,1/27/2025,1:00 AM,1/27/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,1/30/2025,1:00 AM,1/30/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,2/3/2025,1:00 AM,2/3/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,2/6/2025,1:00 AM,2/6/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,2/10/2025,1:00 AM,2/10/2025,1:15 AM,FALSE,,,TRUE
13 شعبان,2/12/2025,1:00 AM,2/12/2025,1:15 AM,FALSE,,,TRUE
14 شعبان,2/13/2025,1:00 AM,2/13/2025,1:15 AM,FALSE,,,TRUE
15 شعبان,2/14/2025,1:00 AM,2/14/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,2/17/2025,1:00 AM,2/17/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,2/20/2025,1:00 AM,2/20/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,2/24/2025,1:00 AM,2/24/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,2/27/2025,1:00 AM,2/27/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,3/3/2025,1:00 AM,3/3/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,3/6/2025,1:00 AM,3/6/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,3/10/2025,1:00 AM,3/10/2025,1:15 AM,FALSE,,,TRUE
13 رمضان,3/13/2025,1:00 AM,3/13/2025,1:15 AM,FALSE,,,TRUE
14 رمضان,3/14/2025,1:00 AM,3/14/2025,1:15 AM,FALSE,,,TRUE
15 رمضان,3/15/2025,1:00 AM,3/15/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,3/17/2025,1:00 AM,3/17/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,3/20/2025,1:00 AM,3/20/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,3/24/2025,1:00 AM,3/24/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,3/27/2025,1:00 AM,3/27/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين / يوم 1 من السته البيض,3/31/2025,1:00 AM,3/31/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس / يوم 2 من السته البيض,4/3/2025,1:00 AM,4/3/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين / يوم 3 من السته البيض,4/7/2025,1:00 AM,4/7/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس / يوم 4 من السته البيض,4/10/2025,1:00 AM,4/10/2025,1:15 AM,FALSE,,,TRUE
13 شوال,4/11/2025,1:00 AM,4/11/2025,1:15 AM,FALSE,,,TRUE
14 شوال,4/12/2025,1:00 AM,4/12/2025,1:15 AM,FALSE,,,TRUE
15 شوال,4/13/2025,1:00 AM,4/13/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين / يوم 5 من السته البيض,4/14/2025,1:00 AM,4/14/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس / يوم 6 من السته البيض,4/17/2025,1:00 AM,4/17/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,4/21/2025,1:00 AM,4/21/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,4/24/2025,1:00 AM,4/24/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,4/28/2025,1:00 AM,4/28/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,5/1/2025,1:00 AM,5/1/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,5/5/2025,1:00 AM,5/5/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,5/8/2025,1:00 AM,5/8/2025,1:15 AM,FALSE,,,TRUE
13 ذو القعدة,5/11/2025,1:00 AM,5/11/2025,1:15 AM,FALSE,,,TRUE
14 ذو القعدة,5/12/2025,1:00 AM,5/12/2025,1:15 AM,FALSE,,,TRUE
15 ذو القعدة,5/13/2025,1:00 AM,5/13/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,5/15/2025,1:00 AM,5/15/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,5/19/2025,1:00 AM,5/19/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,5/22/2025,1:00 AM,5/22/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,5/26/2025,1:00 AM,5/26/2025,1:15 AM,FALSE,,,TRUE
1\8 ذى الحجه,5/28/2025,1:00 AM,5/28/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس - 2/8 ذى الحجه,5/29/2025,1:00 AM,5/29/2025,1:15 AM,FALSE,,,TRUE
3\8 ذى الحجه,5/30/2025,1:00 AM,5/30/2025,1:15 AM,FALSE,,,TRUE
4\8 ذى الحجه,5/31/2025,1:00 AM,5/31/2025,1:15 AM,FALSE,,,TRUE
5\8 ذى الحجه,6/1/2025,1:00 AM,6/1/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين - 6/8 ذى الحجه ,6/2/2025,1:00 AM,6/2/2025,1:15 AM,FALSE,,,TRUE
7\8 ذى الحجه,6/3/2025,1:00 AM,6/3/2025,1:15 AM,FALSE,,,TRUE
8\8 ذى الحجه,6/4/2025,1:00 AM,6/4/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس / يوم عرفه,6/5/2025,1:00 AM,6/5/2025,1:15 AM,FALSE,,,TRUE
13 ذو الحجة,6/9/2025,1:00 AM,6/9/2025,1:15 AM,FALSE,,,TRUE
14 ذو الحجة,6/10/2025,1:00 AM,6/10/2025,1:15 AM,FALSE,,,TRUE
15 ذو الحجة,6/11/2025,1:00 AM,6/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,6/12/2025,1:00 AM,6/12/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,6/16/2025,1:00 AM,6/16/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,6/19/2025,1:00 AM,6/19/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,6/23/2025,1:00 AM,6/23/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,6/26/2025,1:00 AM,6/26/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,6/30/2025,1:00 AM,6/30/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/3/2025,1:00 AM,7/3/2025,1:15 AM,FALSE,,,TRUE
تاسوعاء,7/4/2025,1:00 AM,7/4/2025,1:15 AM,FALSE,,,TRUE
عاشوراء,7/5/2025,1:00 AM,7/5/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/7/2025,1:00 AM,7/7/2025,1:15 AM,FALSE,,,TRUE
13 محرم,7/8/2025,1:00 AM,7/8/2025,1:15 AM,FALSE,,,TRUE
14 محرم,7/9/2025,1:00 AM,7/9/2025,1:15 AM,FALSE,,,TRUE
15 محرم,7/10/2025,1:00 AM,7/10/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/14/2025,1:00 AM,7/14/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/17/2025,1:00 AM,7/17/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/21/2025,1:00 AM,7/21/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/24/2025,1:00 AM,7/24/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/28/2025,1:00 AM,7/28/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/31/2025,1:00 AM,7/31/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/4/2025,1:00 AM,8/4/2025,1:15 AM,FALSE,,,TRUE
13 صفر,8/7/2025,1:00 AM,8/7/2025,1:15 AM,FALSE,,,TRUE
14 صفر,8/8/2025,1:00 AM,8/8/2025,1:15 AM,FALSE,,,TRUE
15 صفر,8/9/2025,1:00 AM,8/9/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/11/2025,1:00 AM,8/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,8/14/2025,1:00 AM,8/14/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/18/2025,1:00 AM,8/18/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,8/21/2025,1:00 AM,8/21/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/25/2025,1:00 AM,8/25/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,8/28/2025,1:00 AM,8/28/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/1/2025,1:00 AM,9/1/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/4/2025,1:00 AM,9/4/2025,1:15 AM,FALSE,,,TRUE
13 ربيع الأول,9/5/2025,1:00 AM,9/5/2025,1:15 AM,FALSE,,,TRUE
14 ربيع الأول,9/6/2025,1:00 AM,9/6/2025,1:15 AM,FALSE,,,TRUE
15 ربيع الأول,9/7/2025,1:00 AM,9/7/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/8/2025,1:00 AM,9/8/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/11/2025,1:00 AM,9/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/15/2025,1:00 AM,9/15/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/18/2025,1:00 AM,9/18/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/22/2025,1:00 AM,9/22/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/25/2025,1:00 AM,9/25/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/29/2025,1:00 AM,9/29/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/2/2025,1:00 AM,10/2/2025,1:15 AM,FALSE,,,TRUE
13 ربيع الثاني,10/5/2025,1:00 AM,10/5/2025,1:15 AM,FALSE,,,TRUE
14 ربيع الثاني,10/6/2025,1:00 AM,10/6/2025,1:15 AM,FALSE,,,TRUE
15 ربيع الثاني,10/7/2025,1:00 AM,10/7/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/9/2025,1:00 AM,10/9/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,10/13/2025,1:00 AM,10/13/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/16/2025,1:00 AM,10/16/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,10/20/2025,1:00 AM,10/20/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/23/2025,1:00 AM,10/23/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,10/27/2025,1:00 AM,10/27/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/30/2025,1:00 AM,10/30/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/3/2025,1:00 AM,11/3/2025,1:15 AM,FALSE,,,TRUE
13 جمادى الأولى,11/4/2025,1:00 AM,11/4/2025,1:15 AM,FALSE,,,TRUE
14 جمادى الأولى,11/5/2025,1:00 AM,11/5/2025,1:15 AM,FALSE,,,TRUE
15 جمادى الأولى,11/6/2025,1:00 AM,11/6/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/10/2025,1:00 AM,11/10/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,11/13/2025,1:00 AM,11/13/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/17/2025,1:00 AM,11/17/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,11/20/2025,1:00 AM,11/20/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/24/2025,1:00 AM,11/24/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,11/27/2025,1:00 AM,11/27/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/1/2025,1:00 AM,12/1/2025,1:15 AM,FALSE,,,TRUE
13 جمادى الثانية,12/4/2025,1:00 AM,12/4/2025,1:15 AM,FALSE,,,TRUE
14 جمادى الثانية,12/5/2025,1:00 AM,12/5/2025,1:15 AM,FALSE,,,TRUE
15 جمادى الثانية,12/6/2025,1:00 AM,12/6/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/8/2025,1:00 AM,12/8/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,12/11/2025,1:00 AM,12/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/15/2025,1:00 AM,12/15/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,12/18/2025,1:00 AM,12/18/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/22/2025,1:00 AM,12/22/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,12/25/2025,1:00 AM,12/25/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/29/2025,1:00 AM,12/29/2025,1:15 AM,FALSE,,,TRUE
